Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P145,rungkut,750000000 ,750 ,2,1,90,66,SHM - Sertifikat Hak Milik,1300,0,1,1,3
P146,pakal,750000000 ,750 ,2,1,91,56,HGB - Hak Guna Bangunan,2200,0,1,0,2
P147,tambaksari,750000000 ,750 ,2,1,91,77,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P148,pakal,750000000 ,750 ,2,1,97,50,HGB - Hak Guna Bangunan,2200,0,1,0,2
P149,rungkut,750000000 ,750 ,2,1,98,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P150,gubeng,750000000 ,750 ,3,2,100,70,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P151,gubeng,750000000 ,750 ,3,2,100,70,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P152,gubeng,750000000 ,750 ,3,2,100,70,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P153,rungkut,750000000 ,750 ,2,1,100,100,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P154,pakal,750000000 ,750 ,2,1,105,70,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P155,tandes,750000000 ,750 ,5,2,108,108,SHM - Sertifikat Hak Milik,900,1,2,1,2
P156,rungkut,760000000 ,760 ,3,1,75,50,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P157,rungkut,760000000 ,760 ,2,1,84,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P158,rungkut,765000000 ,765 ,3,2,54,80,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P159,rungkut,765000000 ,765 ,3,2,54,80,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P160,tandes,765000000 ,765 ,3,1,78,90,SHM - Sertifikat Hak Milik,2200,0,1,0,3
P161,rungkut,765000000 ,765 ,2,1,84,80,SHM - Sertifikat Hak Milik,1300,0,1,0,3
P162,rungkut,770000000 ,770 ,3,2,50,57,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P163,rungkut,770000000 ,770 ,3,2,52,57,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P164,kenjeran,775000000 ,775 ,2,2,59,120,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P165,rungkut,775000000 ,775 ,3,2,60,90,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P166,wonokromo,775000000 ,775 ,2,2,77,77,"Lainnya (PPJB,Girik,Adat,dll)",1300,1,2,1,2
P167,benowo,775000000 ,775 ,3,1,98,60,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P168,wiyung,775000000 ,775 ,4,4,115,180,HGB - Hak Guna Bangunan,3500,0,2,0,2
P169,benowo,775000000 ,775 ,2,1,120,450,HGB - Hak Guna Bangunan,2200,1,1,1,4
P170,pakal,775000000 ,775 ,2,1,120,80,SHM - Sertifikat Hak Milik,2200,1,1,1,2
